"","Year","Data Source","NPDES Permit Number","FRS ID","Facility Name","City","County","State","Major/Non-Major Status","Facility Latitude","Facility Longitude","SIC Code","4-Digit SIC Code","SIC Description","HUC 12 Code","Watershed Name","Total Pounds (lb/yr)","Load Over Limit","Total TWPE (lb-eq/yr)","TWPE Over Limit","Avg Concentration (mg/L)","Max Concentration (mg/L)","Average Flow (MGD)","Links to TRI ID","Contains Potential Outliers?","Link to DFR"
"1",2007,"ICIS","NY0026191",1.10013e+11,"HUNTS POINT WATER POLLUTION CONTROL PLANT","BRONX","BRONX","NY","Major",40.803694,-73.885083,4952,4952,"SEWERAGE SYSTEMS",20301020105,"Westchester Creek-East River",6872600,0,0,0,0,0,NA,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026191&sys=ICP"
"2",2007,"ICIS","NY0026158",1.10001e+11,"NYCDEP - BOWERY BAY WPCP","ASTORIA","QUEENS","NY","Major",40.778405,-73.89459,4952,4952,"SEWERAGE SYSTEMS",20301020105,"Westchester Creek-East River",5943600,0,0,0,0,0,NA,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026158&sys=ICP"
"3",2007,"ICIS","MA0101613",1.10008e+11,"SPRINGFIELD REGIONAL WASTEWATER TREATMENT PLANT","AGAWAM","HAMPDEN","MA","Major",42.087793,-72.588998,4952,4952,"SEWERAGE SYSTEMS",10802010702,"Stony Brook-Connecticut River",3756314.782,0,0,0,13.36054167,133,43.28333333,NA,"Y","https://echo.epa.gov/detailed-facility-report?fid=MA0101613&sys=ICP"
"4",2007,"ICIS","NY0026239",1.10002e+11,"TALLMAN ISLAND WASTEWATER TREATMENT PLANT","COLLEGE POINT","QUEENS","NY","Major",40.795556,-73.839333,4952,4952,"SEWERAGE SYSTEMS",20301020105,"Westchester Creek-East River",2764700,0,0,0,16.27731316,17.97284303,55.75,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026239&sys=ICP"
"5",2007,"ICIS","CT0003760",1.10001e+11,"PSEG FOSSIL LLC/ POWER CT LLC","NEW HAVEN","NEW HAVEN","CT","Major",41.283986,-72.904546,4911,4911,"ELECTRICAL SERVICES",11000040208,"Indian River-Frontal Long Island Sound",2639085.937,0,0,0,1.1925,5.95,58.33994283,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0003760&sys=ICP"
"6",2007,"ICIS","NY0026697",1.10019e+11,"NEW ROCHELLE STP","NEW ROCHELLE","WESTCHESTER","NY","Major",40.913,-73.769361,4952,4952,"SEWERAGE SYSTEMS",20301020203,"East Creek-Mamaroneck Harbor",625587,0,0,0,0,0,0.019517544,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=NY0026697&sys=ICP"
"7",2007,"ICIS","MA0101508",1.10001e+11,"CHICOPEE WATER POLLUTION CONTROL","CHICOPEE","HAMPDEN","MA","Major",42.15376,-72.62166,4952,4952,"SEWERAGE SYSTEMS",10802040402,"Outlet Chicopee River",565069.2842,0,0,0,6.487612385,9.320970631,9.505833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101508&sys=ICP"
"8",2007,"ICIS","MA0101681",1.10007e+11,"PITTSFIELD WASTEWATER TREATMENT FACILITY","PITTSFIELD","BERKSHIRE","MA","Major",42.407678,-73.24276,4952,4952,"SEWERAGE SYSTEMS",11000050104,"Sackett Brook-Housatonic River",459277.826,0,0,0,4.430416667,6.218333333,11.35833333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101681&sys=ICP"
"9",2007,"ICIS","NY0026701",1.10019e+11,"MAMARONECK (V) SANITARY SD","MAMARONECK","WESTCHESTER","NY","Major",40.946833,-73.733694,4952,4952,"SEWERAGE SYSTEMS",20301020202,"Sheldrake River-Mamaroneck River",433700.544,0,0,0,0,0,15.09671233,NA,"Y","https://echo.epa.gov/detailed-facility-report?fid=NY0026701&sys=ICP"
"10",2007,"ICIS","CT0100510",1.10001e+11,"SOUTH WINDSOR WATER POLLUTION CONTROL FACILITY","SOUTH WINDSOR","HARTFORD","CT","Major",41.829512,-72.635461,4952,4952,"SEWERAGE SYSTEMS",10802050502,"Stoughton Brook-Connecticut River",396786.8443,0,0,0,54.90166667,403,1.771666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0100510&sys=ICP"
"11",2007,"ICIS","CT0101249",1.10007e+11,"NORWALK WASTEWATER TREATMENT PLANT","NORWALK","FAIRFIELD","CT","Major",41.102216,-73.412604,4952,4952,"SEWERAGE SYSTEMS",11000060202,"Norwalk River-Frontal Norwalk Harbor",355483,0,0,0,8.513020469,10.56031455,14.11666667,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=CT0101249&sys=ICP"
"12",2007,"ICIS","MA0101630",1.10001e+11,"HOLYOKE WATER POLLUTION CONTROL FACILITY","HOLYOKE","HAMPDEN","MA","Major",42.191041,-72.612574,4952,4952,"SEWERAGE SYSTEMS",10802010702,"Stony Brook-Connecticut River",294031.1833,0,0,0,4.579416667,7.15,10.53333333,NA,NA,"https://echo.epa.gov/detailed-facility-report?fid=MA0101630&sys=ICP"
