Year,Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Code,4-Digit SIC Code,SIC Description,HUC 12 Code,Watershed Name,Total Pounds (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),TWPE Over Limit,Avg Concentration (mg/L),Max Concentration (mg/L),Average Flow (MGD),Links to TRI ID,Contains Potential Outliers?,Link to DFR
2008,ICIS,NY0026191,1.10013E+11,HUNTS POINT WATER POLLUTION CONTROL PLANT,BRONX,BRONX,NY,Major,40.803694,-73.885083,4952,4952,SEWERAGE SYSTEMS,20301020105,Westchester Creek-East River,7424500,0,0,0,0,0,,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026191&sys=ICP
2008,ICIS,NY0026158,1.10001E+11,NYCDEP - BOWERY BAY WPCP,ASTORIA,QUEENS,NY,Major,40.778405,-73.89459,4952,4952,SEWERAGE SYSTEMS,20301020105,Westchester Creek-East River,6316500,0,0,0,0,0,,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026158&sys=ICP
2008,ICIS,NY0026239,1.10002E+11,TALLMAN ISLAND WASTEWATER TREATMENT PLANT,COLLEGE POINT,QUEENS,NY,Major,40.795556,-73.839333,4952,4952,SEWERAGE SYSTEMS,20301020105,Westchester Creek-East River,3284300,0,0,0,18.64672508,21.65149512,57.83333333,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026239&sys=ICP
2008,ICIS,MA0101290,1.1001E+11,HATFIELD WASTEWATER TREATMENT FACILITY,HATFIELD,HAMPSHIRE,MA,Non-Major,42.394226,-72.592828,4952,4952,SEWERAGE SYSTEMS,10802010602,Russellville Brook-Connecticut River,1819817.61,0,0,0,4728.235513,18798.65715,0.258833333,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101290&sys=ICP
2008,ICIS,CT0030309,1.10013E+11,MILFORD POWER STATION,MILFORD,NEW HAVEN,CT,Major,41.223948,-73.099068,,,,11000051302,Housatonic River-Frontal Long Island Sound,659402.0084,0,0,0,79.18184556,556.5962712,0.902363636,,Y,https://echo.epa.gov/detailed-facility-report?fid=CT0030309&sys=ICP
2008,ICIS,NY0026697,1.10019E+11,NEW ROCHELLE STP,NEW ROCHELLE,WESTCHESTER,NY,Major,40.913,-73.769361,4952,4952,SEWERAGE SYSTEMS,20301020203,East Creek-Mamaroneck Harbor,629566,0,0,0,0,0,0.002508224,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026697&sys=ICP
2008,ICIS,MA0101508,1.10001E+11,CHICOPEE WATER POLLUTION CONTROL,CHICOPEE,HAMPDEN,MA,Major,42.15376,-72.62166,4952,4952,SEWERAGE SYSTEMS,10802040402,Outlet Chicopee River,610641.4,0,0,0,6.865071764,10.28160735,9.853333333,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101508&sys=ICP
2008,ICIS,MA0101613,1.10008E+11,SPRINGFIELD REGIONAL WASTEWATER TREATMENT PLANT,AGAWAM,HAMPDEN,MA,Major,42.087793,-72.588998,4952,4952,SEWERAGE SYSTEMS,10802010702,Stony Brook-Connecticut River,590165.236,0,0,0,2.235083333,3.155,43.29166667,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101613&sys=ICP
2008,ICIS,NY0026701,1.10019E+11,MAMARONECK (V) SANITARY SD,MAMARONECK,WESTCHESTER,NY,Major,40.946833,-73.733694,4952,4952,SEWERAGE SYSTEMS,20301020202,Sheldrake River-Mamaroneck River,501077,0,0,0,0,0,16.03080808,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026701&sys=ICP
2008,ICIS,MA0101681,1.10007E+11,PITTSFIELD WASTEWATER TREATMENT FACILITY,PITTSFIELD,BERKSHIRE,MA,Major,42.407678,-73.24276,4952,4952,SEWERAGE SYSTEMS,11000050104,Sackett Brook-Housatonic River,435349.9491,0,0,0,4.022222222,5.718333333,11.8,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101681&sys=ICP
2008,ICIS,MA0101818,1.10002E+11,NORTHAMPTON WASTEWATER TREATMENT PLANT,NORTHAMPTON,HAMPSHIRE,MA,Major,42.313056,-72.623333,4952,4952,SEWERAGE SYSTEMS,10802010610,Dry Brook-Connecticut River,405340.6364,0,0,0,8.045689349,12.39676848,2.266666667,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101818&sys=ICP
2008,ICIS,CT0003760,1.10001E+11,PSEG FOSSIL LLC/ POWER CT LLC,NEW HAVEN,NEW HAVEN,CT,Major,41.283986,-72.904546,4911,4911,ELECTRICAL SERVICES,11000040208,Indian River-Frontal Long Island Sound,316777.3284,0,0,0,0.306041667,0.73,43.40170838,,,https://echo.epa.gov/detailed-facility-report?fid=CT0003760&sys=ICP
2008,ICIS,CT0101249,1.10007E+11,NORWALK WASTEWATER TREATMENT PLANT,NORWALK,FAIRFIELD,CT,Major,41.102216,-73.412604,4952,4952,SEWERAGE SYSTEMS,11000060202,Norwalk River-Frontal Norwalk Harbor,313179,0,0,0,7.280727836,8.087779365,14.275,,,https://echo.epa.gov/detailed-facility-report?fid=CT0101249&sys=ICP
2008,ICIS,CT0101087,1.10056E+11,STAMFORD WATER POLLUTION CONTROL FACILITY,STAMFORD,FAIRFIELD,CT,Major,41.046247,-73.52996,4952,4952,SEWERAGE SYSTEMS,11000060404,Fivemile River,285844.9601,0,0,0,2.302222222,4.6,17.18333333,,,https://echo.epa.gov/detailed-facility-report?fid=CT0101087&sys=ICP
2008,ICIS,CT0101036,1.10001E+11,STRATFORD WATER POLLUTION CONTROL FACILITY,STRATFORD,FAIRFIELD,CT,Major,41.17816,-73.1257,4952,4952,SEWERAGE SYSTEMS,11000051302,Housatonic River-Frontal Long Island Sound,275400.5858,0,0,0,14,15.49,9.803333333,,,https://echo.epa.gov/detailed-facility-report?fid=CT0101036&sys=ICP
2008,ICIS,NY0026786,1.10001E+11,PORT CHESTER  WASTEWATER TREATMENT PLANT,PORT CHESTER,WESTCHESTER,NY,Major,40.992028,-73.658556,4952,4952,SEWERAGE SYSTEMS,11000060403,Byram River,227262,0,0,0,0,0,4.403287671,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026786&sys=ICP
2008,ICIS,MA0100994,1.10044E+11,GARDNER WWTF,EAST TEMPLETON,WORCESTER,MA,Major,42.5698,-72.0201,4952,4952,SEWERAGE SYSTEMS,10802020201,Otter River,207944.3116,0,0,0,9.218333333,26.47,3.325,,,https://echo.epa.gov/detailed-facility-report?fid=MA0100994&sys=ICP
2008,ICIS,CT0100641,1.10001E+11,NAUGATUCK WATER POLLUTION CONTROL FACILITY,NAUGATUCK,NEW HAVEN,CT,Major,41.472975,-73.053986,4952,4952,SEWERAGE SYSTEMS,11000051205,Long Meadow Pond Brook-Naugatuck River,189396.8302,0,0,0,11.29166667,23.2,5.566666667,,,https://echo.epa.gov/detailed-facility-report?fid=CT0100641&sys=ICP
2008,ICIS,NY0026778,1.10002E+11,WATER POLL CONTR DIST,PORT WASHINGTON,NASSAU,NY,Major,40.83944,-73.69721,4952,4952,SEWERAGE SYSTEMS,20302010102,Mitchells Creek-Manhassett Bay,170329.8468,0,0,0,7,8.7,2.666666667,,,https://echo.epa.gov/detailed-facility-report?fid=NY0026778&sys=ICP
2008,ICIS,MA0100218,1.1001E+11,AMHERST WASTEWATER TREATMENT PLANT,HADLEY,HAMPSHIRE,MA,Major,42.387696,-72.537382,4952,4952,SEWERAGE SYSTEMS,10802010603,Doolittle Brook-Mill River,166259.5433,0,0,0,5.954166667,9.25,4.562916667,,,https://echo.epa.gov/detailed-facility-report?fid=MA0100218&sys=ICP
2008,ICIS,MA0101630,1.10001E+11,HOLYOKE WATER POLLUTION CONTROL FACILITY,HOLYOKE,HAMPDEN,MA,Major,42.191041,-72.612574,4952,4952,SEWERAGE SYSTEMS,10802010702,Stony Brook-Connecticut River,156199.7075,0,0,0,2.917375,5.53,8.691666667,,,https://echo.epa.gov/detailed-facility-report?fid=MA0101630&sys=ICP
2008,ICIS,MA0100439,1.10024E+11,WEBSTER WASTWATER TREATMENT FACILITY,WEBSTER,WORCESTER,MA,Major,42.038576,-71.888022,4952,4952,SEWERAGE SYSTEMS,11000010203,Middle French River,136283.8849,0,0,0,5.1375,9.366666667,2.91325,,,https://echo.epa.gov/detailed-facility-report?fid=MA0100439&sys=ICP
