"Year","Discharge..cms.","Conc..mg.L.","FN.Conc..mg.L.","Flux..kg.yr.","FN.Flux..kg.yr."
1995,26.4,0.293,0.293,211598,309780
1996,43.7,0.295,0.301,361525,319874
1997,46.1,0.297,0.309,383748,328792
1998,45.6,0.315,0.317,412805,338270
1999,31.4,0.324,0.325,280762,347551
2000,36.3,0.33,0.332,349898,357124
2001,32.4,0.348,0.34,316220,364738
2002,18.5,0.367,0.346,197483,373184
2003,41.8,0.348,0.349,424343,378131
2004,38.8,0.35,0.351,402540,382243
2005,41,0.347,0.35,413972,384137
2006,54.3,0.344,0.347,584563,383625
2007,42,0.342,0.342,422545,378581
2008,37.6,0.337,0.335,362153,372473
2009,45,0.327,0.328,459675,363899
2010,44.3,0.32,0.321,406977,357434
2011,44.9,0.319,0.316,443457,352408
2012,36.9,0.31,0.312,360466,348769
2013,35.3,0.307,0.307,337366,343525
2014,30.2,0.301,0.303,261416,339167
2015,26.9,0.299,0.299,234197,335115
2016,22.3,0.292,0.296,187129,332097
