Year,WinterFluxTot,SpringFluxTot,SummerFluxTot,FallFluxTot
2007,NA,NA,NA,5285.929916
2008,51135.94316,14417.11698,5123.562965,27564.15592
2009,27597.68823,18888.6951,7242.017494,22699.61375
2010,66998.71452,17001.29517,1263.794424,7119.53425
2011,40450.13432,26437.06135,11880.71208,28698.02421
2012,27059.85675,11523.73843,2027.899846,9886.012907
2013,38929.9074,20878.53544,4025.423455,8829.274161
2014,36639.83405,26657.19269,1932.873805,14589.64019
2015,31177.39044,19252.83847,2015.059088,5998.380634
2016,29639.77473,16104.45413,1092.793171,NA
