"Year","WinterFluxTot","SpringFluxTot","SummerFluxTot","FallFluxTot"
1994,NA,NA,NA,15838.5361403856
1995,23473.0572023823,14742.2772689736,8396.21596717436,17458.9638034979
1996,27903.996435109,26588.7895768832,12739.1379191333,24847.3960872864
1997,27168.6931561422,22304.8988105746,11861.4479075935,15369.6117335352
1998,29424.2036007919,26750.1104621748,13047.046580151,13888.8074802798
1999,27391.3048694459,14375.394538778,9526.90887083597,18950.7800979945
2000,24064.4062474556,27842.8019196096,14477.0086946781,14962.3095093868
2001,23791.6671780808,23458.9432612805,10939.0113860558,11062.3692408531
2002,11563.2683839435,17315.2423785899,8315.7460379487,16410.8001012907
2003,27632.9201950052,25583.3813406431,16623.7128900084,28940.564973639
2004,24963.3138916828,26283.0078994112,14639.3495218314,21750.3755886873
2005,32552.4946785507,24964.7989099738,10833.751503688,35463.9189631746
2006,34129.9880173255,27872.2795588569,16285.9954520728,21203.7152805182
2007,25119.9058666214,25992.296279871,10079.9879981037,13012.6641879843
2008,33438.7649117908,21497.614386061,18226.3367887236,27404.3268283362
2009,28972.8010078698,22424.5580709367,18542.5076262119,20218.4253231701
2010,28291.6192999738,19520.4302045112,8580.14371415381,13301.754676095
2011,26056.5419678718,25166.7407206603,18898.8210049796,34917.2724720941
2012,26340.1098411309,16201.5809211523,12765.8916531508,16972.067368534
2013,26849.3024202197,25428.2013138727,16120.4733932675,15810.7715200781
2014,24964.4274572044,26935.232086825,10226.2350356449,14198.0832632865
2015,18801.6641276341,20600.4835112882,11574.5922492414,12697.7898047185
2016,20796.6946185051,15571.1197021037,7210.86865072828,NA
