areaacres,areasqkm,states,huc8,name,globalid,shape_Length,shape_Area,EXTERNAL_PERMIT_NMBR,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE_CODE,ZIP,FAC_COUNTY_NAME,PERMIT_NAME,FACILITY_TYPE_CODE,FACILITY_TYPE_DESC,PERMIT_TYPE_CODE,PERMIT_STATUS_CODE,PERMIT_TYPE_DESC,PERMIT_STATUS_DESC,SIC_CODES,SIC_DESCRIPTIONS,TOTAL_DESIGN_FLOW_NMBR,NAICS_CODES,FAC_FEDERAL_AGENCY_NAME,CWP_CURRENT_SNC_STATUS,CWP_CURRENT_VIOL,CWA_CURRENT_STATUS,CWP_DATE_LAST_INSPECTION,DATE_LAST_FORMAL_EA,DMR_POUNDS,LIM_POLLUTANT,FAC_INDIAN_SPATIAL_FLG,FAC_DERIVED_TRIBES,PERMIT_EFFECTIVE_DATE,PERMIT_EXPIRATION_DATE,PERMIT_TERMINATION_DATE,PERMIT_COMPONENTS,PERM_FEATURE_NMBR,MAJOR_MINOR_FLAG,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,SUB_TYPE_DESC,LATLONG_TYPE
603705.54,2443.11,VT,04300102,Otter Creek,{C3F146D6-1DC8-49A2-A89C-95EEC66F2907},4.165689307,0.273150536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680466.87,2753.75,VT,04300103,Winooski River,{C68E5CBC-B7CD-4F1C-B765-354FE1B1753E},4.467807224,0.310595505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461815.86,1868.9,VT,04300105,Lamoille River,{54A612E8-0233-4A76-AD8A-516E849632F1},4.118799342,0.211872923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972654.3,7983.06,"CN,ME,NH,VT",04300202,St. Francois River,{4118CFE1-4E3B-4B38-A615-E2ECFADCA45A},7.926318238,0.916752297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088611.67,4405.46,"ME,NH",01060002,Saco River,{69C1336E-870C-49AD-B008-B6C7A12118F3},5.349334185,0.49352418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0000582,HAMILTON STANDARD DIV,ONE HAMILTON RD,WINDSOR LOCKS,CT,060961010,HARTFORD,HAMILTON SUNDSTRAND CORPORATIO,POF,Privately Owned Facility,NPD,TRM,NPDES Individual Permit,Terminated,3728,Aircraft Parts And Equipment,,,,,No,Terminated Permit,05/19/2011,12/17/1993,,"1,1,1-Trichloroethane;1,1-Dichloroethylene;Aluminum, total [as Al];Boron, total [as B];Cadmium, total [as Cd];Carbon tetrachloride;Chlorine, total residual;Chloroform;Chromium, hexavalent [as Cr];Chromium, total [as Cr];Cobalt, total [as Co];Copper, total [as Cu];Cyanide, total [as CN];Flow;Flow rate;Flow, maximum during 24 hr period;Iron, total [as Fe];Lead, total [as Pb];Molybdenum, total [as Mo];Nickel, total [as Ni];Nitrogen, ammonia total [as N];Oil & Grease;Organics, total toxic [TTO];PCB-1016;PCB-1221;PCB-1232;PCB-1242;PCB-1248;PCB-1254;PCB-1260;Pass/Fail Static 48Hr Acute D. Pulex;Pass/Fail Static 48Hr Acute Pimephales;Silver, total [as Ag];Solids, total suspended;Surfactants [MBAS];Tetrachloroethylene;Tin, total [as Sn];Trichloroethylene;Vanadium, total [as V];Zinc, total [as Zn];Zirconium, total;pH;trans-1,2-Dichloroethylene",N,,07/15/2002,07/14/2007,08/12/2011,,,Major,FARMINGTON RIVER,41.922205,-72.687574,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0000582,HAMILTON STANDARD DIV,ONE HAMILTON RD,WINDSOR LOCKS,CT,060961010,HARTFORD,HAMILTON SUNDSTRAND CORPORATIO,POF,Privately Owned Facility,NPD,TRM,NPDES Individual Permit,Terminated,3728,Aircraft Parts And Equipment,,,,,No,Terminated Permit,05/19/2011,12/17/1993,,,N,,07/15/2002,07/14/2007,08/12/2011,,001,Major,FARMINGTON RIVER,41.91165,-72.687851,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0003441,"WINDSOR STEVENS, INCORPORATED",STEVENS MILL ROAD,WINDSOR,CT,06095,HARTFORD,WINDSOR STEVENS,POF,Privately Owned Facility,NPD,TRM,NPDES Individual Permit,Terminated,2611,Pulp Mills,,,,,No,Terminated Permit,07/14/2014,,,"BOD, 5-day, 20 deg. C;Copper, total [as Cu];Di[2-ethylhexyl] phthalate [DEHP];Lead, total [as Pb];Nitrogen, Kjeldahl, total [as N];Nitrogen, nitrate total [as N];Nitrogen, nitrite total [as N];Phosphorus, total [as P];Solids, total suspended;Zinc, total [as Zn];pH",N,,07/01/2009,06/30/2014,10/01/2013,,,Minor,FARMINGTON RIVER,41.912483,-72.687101,,Facility
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0003441,"WINDSOR STEVENS, INCORPORATED",STEVENS MILL ROAD,WINDSOR,CT,06095,HARTFORD,WINDSOR STEVENS,POF,Privately Owned Facility,NPD,TRM,NPDES Individual Permit,Terminated,2611,Pulp Mills,,,,,No,Terminated Permit,07/14/2014,,,,N,,07/01/2009,06/30/2014,10/01/2013,,002,Minor,FARMINGTON RIVER,41.904177,-72.685629,EXTERNAL OUTFALL,Permitted Feature
388191.33,1570.96,"CT,MA",01080207,Farmington River,{5496824A-6FCF-4CE9-A775-6C1C75825A6E},3.294401104,0.170563808,CT0100072,CANTON WPCF,50 OLD RIVER ROAD,CANTON,CT,06022,HARTFORD COUNTY,CANTON WPCF,MWD,Municipal or Water District,NPD,EFF,NPDES Individual Permit,Effective,4952,Sewerage Systems,0.8,,,,No,No Violation Identified,02/27/2019,05/17/1989,,,N,,07/01/2017,06/30/2022,,"Biosolids, POTW, Pretreatment",001,Minor,FARMINGTON RIVER,41.816652,-72.921749,EXTERNAL OUTFALL,Permitted Feature
