Threshold,1,2,3,3.5,4.8
WQAUG91,0,0.16,3.872,16,80.192
WQAUG92,0,0,1.376,2.528,32.608
WQSEP93,0.032,2.56,7.424,12.384,63.136
WQAUG94,1.504,10.048,35.52,49.632,94.592
WQAUG95,0.384,2.304,21.056,33.984,65.44
WQSEP96,0.64,2.56,9.696,28.64,73.664
HYJUL97,0,0,0,1.088,16.96
WQSEP98,0,0.64,8.416,15.808,55.808
WQAUG99,0,2.208,4.928,12.544,62.976
HYJUL00,0,0.384,9.184,22.208,54.368
WQSEP01,0,0.512,8.032,16.48,52.96
WQAUG02,0.416,2.464,8.672,15.328,51.584
HYAUG03,1.472,11.424,34.72,49.696,87.456
HYAUG04,1.088,2.688,14.048,22.08,58.4
HYAUG05,1.28,4.736,19.552,31.04,87.712
WQAUG06,0.544,2.304,13.76,29.856,73.504
WQAUG07,0,0.192,12.704,41.28,75.392
HYAUG08,1.248,3.392,25.856,40.32,81.92
HYAUG09,0,0.672,8.672,32.864,83.552
WQAUG10,0,0.928,5.632,10.592,61.696
HYAUG11,0,0.32,6.848,27.2,86.048
HYAUG12,0.096,1.952,14.72,29.184,72.16
HYAUG13,0,0.8,3.232,13.984,45.248
WQAUG14,0,0.128,1.728,4.448,30.08
HYAUG15,0,0,1.184,2.336,54.08
HYAUG16,0,1.024,8.448,21.088,70.624
HYJUL17,0,0,0.576,2.496,53.152
WQSEP18,0,0,0.64,12.064,45.024
WQAUG19,0,1.28,3.904,9.28,51.68
