Permit,Name,2017_avg_TN_lb_day,2018_avg_TN_lb_day,2019_avg_TN_lb_day,2020_avg_TN_lb_day,2021_avg_TN_lb_day
MA0101613,SPRINGFIELD,1953.00,1684.00,2593.00,2012.00,2269.00
MA0101630,HOLYOKE,747.00,593.00,589.00,462.00,424.00
MA0101508,CHICOPEE,1872.00,1895.00,1957.00,1929.00,2053.00
MA0101818,NORTHAMPTON,393.00,453.00,482.00,493.00,504.00
MA0100218,AMHERST,342.00,377.00,375.00,265.00,302.00
MA0101800,WESTFIELD,189.00,211.00,235.00,337.00,199.00
MA0101168,PALMER,100.00,125.00,136.00,72.00,76.00
MA0100994,GARDNER,455.00,404.00,429.00,357.00,362.00
MA0100455,SOUTH,364.00,315.00,325.00,397.00,466.00
MA0101478,EASTHAMPTON,329.00,639.00,399.00,234.00,220.00
MA0101214,GREENFIELD,386.00,482.00,444.00,514.00,462.00
MA0100340,TEMPLETON,21.00,35.00,15.00,29.00,19.00
MA0101052,ERVING,33.00,25.00,31.00,38.00,35.00
MA0100137,MONTAGUE,215.00,78.00,67.00,41.00,92.00
MA0100005,ATHOL,39.00,44.00,43.00,35.00,90.00
MA0101567,WARREN,38.00,55.00,44.00,32.00,41.00
MA0101257,ORANGE,91.00,91.00,67.00,78.00,58.00
MA0100862,WINCHENDON,48.00,40.00,35.00,40.00,49.00
MA0100919,SPENCER,29.00,71.00,102.00,88.00,77.00
MA0101516,ERVING,10.00,7.50,5.00,14.00,11.00
MA0100889,WARE,72.00,78.00,98.00,94.00,93.00
MA0102148,BELCHERTOWN,11.00,5.60,8.00,5.00,10.00
MAG580004,SOUTH,18.00,27.00,15.00,23.00,17.00
MA0101061,NORTH,47.00,50.00,138.00,56.00,69.00
MA0100099,HADLEY,109.00,67.00,69.00,65.00,40.00
MA0101290,HATFIELD,28.00,27.00,29.00,26.00,26.00
MAG580005,SUNDERLAND,10.00,9.30,5.00,6.00,8.00
MA0032573,NORTHFIELD,10.00,10.00,8.00,8.00,12.00
MA0103152,BARRE,50.00,49.00,43.00,38.00,48.00
MA0100200,NORTHFIELD,10.00,14.00,12.00,10.00,13.00
MAG580002,SHELBURNE,17.00,21.00,15.00,21.00,22.00
MAG580001,OLD,12.00,12.00,14.00,10.00,13.00
MA0100102,HARDWICK,4.30,17.00,7.00,4.00,5.00
MA0101265,HUNTINGTON,4.30,5.20,2.00,3.00,1.00
MAG580003,CHARLEMONT,4.80,4.80,3.00,5.00,5.00
MA0102431,HARDWICK,6.90,2.30,2.00,2.00,1.00
MA0100161,ROYALSTON,0.49,0.60,1.00,1.00,2.00
MA0100188,MONROE,2.30,1.70,1.00,2.00,3.00
MA0102776,ERVING,8.00,7.50,2.00,7.00,1.00
MA0110043,MCLAUGHLIN,41.00,37.00,38.00,33.00,40.00
MA0110035,MCLAUGHLIN/SUNDERLAND,20.00,25.00,18.00,19.00,22.00
MA0110051,MCLAUGHLIN/BITZER,8.20,8.20,8.00,10.00,10.00
MA0000469,SEAMAN,62.00,46.00,56.00,47.00,40.00
MA0003697,BARNHARDT,54.00,96.00,61.00,33.00,19.00
MA0040207,CHANG,20.00,20.00,22.00,9.00,9.00
MA0110264,AUSTRALIS,107.00,74.00,74.00,117.00,108.00
MA0001350,LS,0.07,0.04,0.00,0.00,0.00
MA0000272,PAN,0.47,0.18,0.00,0.00,0.00
MA0101681,PITTSFIELD,1245.00,1319.00,1241.00,1171.00,1011.00
MA0101524,GREAT,99.00,124.00,133.00,88.00,95.00
MA0000671,CRANE,116.00,107.00,147.00,114.00,153.00
MA0100153,LEE,15.00,35.00,27.00,17.00,26.00
MA0100935,LENOX,71.00,78.00,69.00,48.00,50.00
MA0101087,STOCKBRIDGE,13.00,10.00,18.00,22.00,22.00
MA0103110,WEST,5.00,3.70,4.00,3.00,4.00
MA0001716,MEADWESTVACO,7.20,7.80,4.00,5.00,4.00
MA0001848,ONYX,33.00,22.00,27.00,17.00,34.00
MA0005011,PAPERLOGIC,6.50,,,,
MA0100439,WEBSTER,292.00,344.00,325.00,341.00,254.00
MA0100901,SOUTHBRIDGE,151.00,130.00,145.00,122.00,125.00
MA0100421,STURBRIDGE,19.00,20.00,22.00,23.00,17.00
MA0100170,OXFORD,0.57,0.49,3.00,4.00,
MA0101141,CHARLTON,68.00,70.00,55.00,32.00,59.00
MA0101796,LEICESTER,26.00,19.00,26.00,12.00,15.00
NH0000621,BERLIN,15.00,8.70,2.00,9.00,4.00
NH0100790,KEENE,452.00,553.00,421.00,358.00,468.00
NH0101257,CLAREMONT,163.00,146.00,158.00,178.00,151.00
NH0100366,LEBANON,127.00,152.00,138.00,113.00,104.00
NH0100099,HANOVER,350.00,361.00,308.00,233.00,287.00
NH0100153,LITTLETON,31.00,45.00,27.00,35.00,20.00
NH0100200,NEWPORT,80.00,79.00,75.00,67.00,86.00
NH0100145,LANCASTER,72.00,63.00,65.00,59.00,57.00
NH0100765,CHARLESTOWN,19.00,22.00,18.00,18.00,33.00
NH0000744,NH,5.50,5.10,4.00,5.00,3.00
NH0100544,SUNAPEE,50.00,33.00,32.00,22.00,22.00
NHG580315,COLEBROOK,31.00,31.00,30.00,43.00,21.00
