permit,facility,Outfall,key,permit_outfall,state,kg_N_TN_per_month,month_year,EXTERNAL_PERMIT_NMBR.x,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR.x,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,impute_lat,impute_lon,EXTERNAL_PERMIT_NMBR.y,PERM_FEATURE_NMBR.y,huc8,name,impute_name
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_1995-01-31,NY0026697_1,NY,23815.873015873,1995-01-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_1995-01-31,NY0026701_1,NY,20160.5442176871,1995-01-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_1995-01-31,NY0026786_1,NY,7240.36281179138,1995-01-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0021342,HUNTINGTON (T) STP,3,NY0021342_3_1995-02-28,NY0021342_3,NY,3034.92063492063,1995-02-01,NY0021342,HUNTINGTON SEWER DISTRICT STP,4952,Sewerage Systems,3,HUNTINGTON HARB,40.888056,-73.417861,NA,NA,NY0021342,3,02030201,Northern Long Island,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_1995-02-28,NY0026697_1,NY,21396.8253968254,1995-02-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_1995-02-28,NY0026701_1,NY,18196.8253968254,1995-02-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026778,PORT WASHINGTON WPCP,1,NY0026778_1_1995-02-28,NY0026778_1,NY,5879.36507936508,1995-02-01,NY0026778,PORT WASHINGTON WPCD,4952,Sewerage Systems,1,MANHASSET BAY,40.833611,-73.704444,NA,NA,NY0026778,1,02030201,Northern Long Island,NA
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_1995-02-28,NY0026786_1,NY,6539.68253968254,1995-02-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_1995-02-28,NY0026999_3,NY,5726.98412698413,1995-02-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0021342,HUNTINGTON (T) STP,3,NY0021342_3_1995-03-31,NY0021342_3,NY,2910.20408163265,1995-03-01,NY0021342,HUNTINGTON SEWER DISTRICT STP,4952,Sewerage Systems,3,HUNTINGTON HARB,40.888056,-73.417861,NA,NA,NY0021342,3,02030201,Northern Long Island,NA
