permit,facility,key,permit_outfall,kg_N_TN_per_month,month_year,outfall,state,LATITUDE83,LONGITUDE83,huc8,name,season
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1996-01-31,NY0026131_1,497448.07,1996 Jan,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1996-01-31,NY0026191_1,335039,1996 Jan,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1996-01-31,NY0026239_1,108141.5,1996 Jan,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1996-02-29,NY0026131_1,457858.05,1996 Feb,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1996-02-29,NY0026191_1,312713.38,1996 Feb,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1996-02-29,NY0026239_1,113882.54,1996 Feb,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1996-12-31,NY0026131_1,476950.11,1996 Dec,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1996-12-31,NY0026191_1,333619.05,1996 Dec,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1996-12-31,NY0026239_1,126094.78,1996 Dec,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-01-31,NY0026131_1,479733.79,1997 Jan,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-01-31,NY0026191_1,338188.21,1997 Jan,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-01-31,NY0026239_1,126122.9,1997 Jan,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-02-28,NY0026131_1,448177.78,1997 Feb,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-02-28,NY0026191_1,329079.37,1997 Feb,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-02-28,NY0026239_1,118349.21,1997 Feb,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-03-31,NY0026131_1,497448.07,1997 Mar,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-03-31,NY0026191_1,356633.56,1997 Mar,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-03-31,NY0026239_1,131141.95,1997 Mar,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-04-30,NY0026191_1,366979.59,1997 Apr,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-04-30,NY0026131_1,494789.12,1997 Apr,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-04-30,NY0026239_1,122394.56,1997 Apr,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-05-31,NY0026131_1,505349.21,1997 May,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-05-31,NY0026191_1,378565.53,1997 May,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-05-31,NY0026239_1,121581.86,1997 May,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-06-30,NY0026131_1,490258.5,1997 Jun,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1997-06-30,NY0026191_1,360054.42,1997 Jun,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1997-06-30,NY0026239_1,116653.06,1997 Jun,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1997-07-31,NY0026131_1,498825.85,1997 Jul,1,NY,40.787833,-73.919139,NA,East River,summer
