permit_outfall,permit,outfall,facility,long,lat,state,huc8,watershed_name,TMDL_zone
CT0024694_1,CT0024694,1,EAST HAMPTON WPCF,-72.556739,41.553875,CT,01080205,Outlet Connecticut River,NA
CT0100013_1,CT0100013,1,ANSONIA WPCF,-73.078979,41.336101,CT,01100005,Housatonic,4
CT0100048_1,CT0100048,1,BRANFORD WPCF,-72.81036,41.263046,CT,02030203,Long Island Sound,3
CT0100056_1,CT0100056,1,BRIDGEPORT WEST WPCF,-73.212874,41.157771,CT,02030203,Long Island Sound,NA
CT0100064_1,CT0100064,1,NORTH CANAAN WPCF,-73.339444,41.03,CT,02030203,Long Island Sound,NA
CT0100072_1,CT0100072,1,CANTON WPCF,-72.921749,41.816652,CT,01080207,Farmington River,2
CT0100081_1,CT0100081,1,CHESHIRE WPCF,-72.868416,41.530544,CT,01100004,Quinnipiac,3
CT0100145_1,CT0100145,1,DANBURY WPCF,-73.410656,41.401935,CT,01100005,Housatonic,4
CT0100161_1,CT0100161,1,DERBY WPCF,-73.086202,41.315435,CT,01100005,Housatonic,NA
CT0100170_1,CT0100170,1,EAST HARTFORD WPCF,-72.649518,41.759429,CT,01080205,Outlet Connecticut River,2
CT0100196_1,CT0100196,1,EAST WINDSOR WPCF,-72.62146,41.918594,CT,01080205,Outlet Connecticut River,2
CT0100200_1,CT0100200,1,ENFIELD WPCF,-72.607348,41.966427,CT,01080205,Outlet Connecticut River,2
CT0100218_1,CT0100218,1,FARMINGTON WPCF,-72.828691,41.728875,CT,01080207,Farmington River,2
CT0100226_1,CT0100226,1,GLASTONBURY WPCF,-72.614795,41.706929,CT,01080205,Outlet Connecticut River,NA
CT0100234_1,CT0100234,1,GREENWICH WPCF,-73.624833,41.013329,CT,02030203,Long Island Sound,6
CT0100242_1,CT0100242,1,GROTON TOWN WPCF,-72.019223,41.336375,CT,01100003,Thames,NA
CT0100251_1,CT0100251,1,HARTFORD WPCF,-72.648685,41.727485,CT,01080205,Outlet Connecticut River,2
CT0100269_1,CT0100269,1,JEWETT CITY WPCF,-71.975886,41.598872,CT,01100001,Quinebaug River,1
CT0100293_1,CT0100293,1,MANCHESTER WPCF,-72.566182,41.774984,CT,01080205,Outlet Connecticut River,NA
CT0100307_1,CT0100307,1,MATTABASSETT WPCF,-72.643686,41.586653,CT,01080205,Outlet Connecticut River,2
CT0100315_1,CT0100315,1,MERIDEN WPCF,-72.826193,41.513599,CT,01100004,Quinnipiac,3
CT0100323_1,CT0100323,1,MIDDLETOWN WPCF,-72.639241,41.558597,CT,01080205,Outlet Connecticut River,NA
CT0100331_1,CT0100331,1,NEW HARTFORD WPCF,-72.957222,41.867222,CT,01080207,Farmington River,2
CT0100366_1,CT0100366,1,NEW HAVEN EAST WPCF,-72.910363,41.281379,CT,02030203,Long Island Sound,NA
CT0100374_1,CT0100374,1,BRISTOL WPCF,-72.921806,41.668376,CT,01080207,Farmington River,2
CT0100382_1,CT0100382,1,NEW LONDON WPCF,-72.085614,41.341653,CT,02030203,Long Island Sound,1
CT0100391_1,CT0100391,1,NEW MILFORD WPCF,-73.411488,41.568600000000004,CT,01100005,Housatonic,4
CT0100404_1,CT0100404,1,NORTH HAVEN WPCF,-72.87425,41.364711,CT,01100004,Quinnipiac,3
CT0100412_1,CT0100412,1,NORWICH WPCF,-72.079223,41.521651,CT,01100003,Thames,1
CT0100439_1,CT0100439,1,PLAINFIELD VILLAGE WPCF,-71.928662,41.669149,CT,01100001,Quinebaug River,1
