X,Y,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,EXTERNAL_PERMIT_NMBR,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR,STATE_WATER_BODY_NAME,permit_outfall
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0001562,GROVETON ACQUISITION  L.L.C,"2621",Paper Mills,"10",CONNECTICUT AND AMMONOOSUC RIVERS,NH0001562_10
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0001562,GROVETON ACQUISITION  L.L.C,"2621",Paper Mills,"17",CONNECTICUT AND AMMONOOSUC RIVERS,NH0001562_17
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0001562,GROVETON ACQUISITION  L.L.C,"2621",Paper Mills,"18",CONNECTICUT AND AMMONOOSUC RIVERS,NH0001562_18
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"1",unnamed trib to Otter Brook to Israel River,NH0023540_1
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"2",unnamed tributary to Otter Creek,NH0023540_2
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"3",Unnamed tributary to Otter Brook,NH0023540_3
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"4",unnamed trib to CT river to unnamed trib to CT riv,NH0023540_4
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"5",unnamd tributary to Otter Brook,NH0023540_5
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"6",unnamd tributary to Otter Brook,NH0023540_6
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"7",Connecticut River,NH0023540_7
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0023540,FORBES FARM PARTNERSHIP,,,"8",Connecticut River,NH0023540_8
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NH0100145,LANCASTER W W T P,"4952",Sewerage Systems,"1",CONNECTICUT RIVER,NH0100145_1
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR053091,AVRRDD MATERIALS RECYCLING FACILITY,"5093",Scrap And Waste Materials,"1",North Branch Upper Ammonoosuc River (NHRIV80101070,NHR053091_1
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR053091,AVRRDD MATERIALS RECYCLING FACILITY,"5093",Scrap And Waste Materials,"2",North Branch Upper Ammonoosuc River (NHRIV80101070,NHR053091_2
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR053148,"PIKE INDUSTRIES, INC. - COLUMBIA",1429 1442,"Construction Sand And Gravel; Crushed And Broken Stone",,BEAVER BROOK,NHR053148_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR053148,"PIKE INDUSTRIES, INC. - COLUMBIA",1429 1442,"Construction Sand And Gravel; Crushed And Broken Stone","1",BEAVER BROOK,NHR053148_1
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR053148,"PIKE INDUSTRIES, INC. - COLUMBIA",1429 1442,"Construction Sand And Gravel; Crushed And Broken Stone","2",BEAVER BROOK,NHR053148_2
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR10001C,STEWARTSTOWN 16312,,,,"NHRIV801010301-01, BISHOP BROOK, WETLANDS",NHR10001C_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR10002D,STEWARTSTOWN DOT 16312,,,,BISHOP BROOK,NHR10002D_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR10008Q,WATER & WASTEWATER SYSTEM IMPROVEMENTS -- CONTRACT#2,,,,"CONNETICUT RIVER, ISRAEL RIVER",NHR10008Q_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR1000NR,ROTOBEC USA GROVETON FACILITY,,,,UNNAMED BROOK,NHR1000NR_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR1000PC,LANCASTER 16155,,,,"NHLAK801010902-01 BAKER POND, NHRIV801010902-03 CONNECTICUT RIVER - EMERY BROOK, NHRIV801010902-07 UNNAMED BROOK, UNNAMED WETLANDS",NHR1000PC_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR1000PE,NHDOT LANCASTER-GUILDHALL 16155,,,,"NHLAK801010902-01 BAKER POND, NHRIV801010902-03 CONNECTICUT RIVER, NHRIV801010902-07 UNNAMED BROOK, UNNAMED WETLANDS",NHR1000PE_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR10017D,STRATFORD 42555,,,,UNNAMED WETLAND,NHR10017D_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR100181,US ROUTE 3 OVER SIMMS STREAM,,,,SIMMS STREAM,NHR100181_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR1001AW,ISRAEL 6TH EXISTING PIPELINE CORRIDOR,,,,"ISRAEL RIVER, MAPPED WETLAND",NHR1001AW_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHR1001BG,D142 LINE REBUILD PROJECT,,,,"S07, ISRAEL RIVER, STREAM S01, STREAM S02, STREAM S03, STREAM S04, STREAM S05, STREAM S06, STREAM S08, STREAM S09, STREAM S10, STREAM S11, STREAM S12, STREAM S13, STREAM S14, STREAM S15, STREAM S16, STREAM S17, STREAM S18, STREAM S19, STREAM S20, STREAM S21, STREAM S22, STREAM S23, STREAM S24, WETLAND 104, WETLAND W001, WETLAND W002, WETLAND W004, WETLAND W005, WETLAND W006, WETLAND W007, WETLAND W008, WETLAND W009, WETLAND W011, WETLAND W013, WETLAND W015, WETLAND W016, WETLAND W018, WETLAND W020, WETLAND W021, WETLAND W022, WETLAND W023, WETLAND W024, WETLAND W025, WETLAND W026, WETLAND W027, WETLAND W028, WETLAND W029, WETLAND W030, WETLAND W031, WETLAND W032, WETLAND W033, WETLAND W034, WETLAND W035, WETLAND W037, WETLAND W038, WETLAND W039, WETLAND W040, WETLAND W041, WETLAND W042, WETLAND W043, WETLAND W044, WETLAND W045, WETLAND W046, WETLAND W047, WETLAND W048, WETLAND W049, WETLAND W050, WETLAND W051, WETLAND W052, WETLAND W053, WETLAND W054, WETLAND W056, WETLAND W057, WETLAND W058, WETLAND W059, WETLAND W061, WETLAND W062, WETLAND W063, WETLAND W064, WETLAND W065, WETLAND W066, WETLAND W068, WETLAND W070, WETLAND W071, WETLAND W072, WETLAND W074, WETLAND W075, WETLAND W076, WETLAND W077, WETLAND W078, WETLAND W079, WETLAND W080, WETLAND W081, WETLAND W082, WETLAND W083, WETLAND W084, WETLAND W087, WETLAND W088, WETLAND W089, WETLAND W090, WETLAND W091, WETLAND W092, WETLAND W093, WETLAND W094, WETLAND W095, WETLAND W096, WETLAND W098, WETLAND W099, WETLAND W101, WETLAND W102, WETLAND W103, WETLAND W105, WETLAND W106, WETLAND W108, WETLAND W109, WETLAND W114, WETLAND W115, WETLAND W116, WETLAND W117, WETLAND W118, WETLAND W119, WETLAND W120, WETLAND W123, WETLAND W124",NHR1001BG_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,NHU000057,COLUMBIA SAND & GRAVEL,,,,,NHU000057_NA
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,VT0000051,ETHAN ALLEN,,,"1",Hall Stream,VT0000051_1
,,1,{B6CAD55C-92BD-4A21-960B-03EA30D37722},,,,,2020/11/19,,914956.32,3702.7,"CN,ME,NH,VT","01080101",Headwaters Connecticut River,4.86996830261,0.421177287766,VT0100625,CANAAN,,,"1",CONNECTICUT RIVE,VT0100625_1
,,1,{2BA14099-C7A0-4A85-9852-1E4214D41344},,,,,2012/06/11,,322622.77,1305.61,"NH,VT","01080102",Passumpsic River,2.10176195573,0.14785187573,VT0000019,WEIDMANN ELECTRICAL TECHNOLOGY,,,"1",PASSUMPSIC RIVER,VT0000019_1
