permit,orig_issue_dt,permit_issuance_date,permit_effective_date,permit_expiration_date
CT0024694,19830131,20041115,20041115,20091114
CT0100013,19741230,20060630,20060630,20110629
CT0100048,19741230,20020701,20020701,20070707
CT0100056,19741230,20030317,20030317,20080316
CT0100064,19741230,20041101,20041101,20091109
CT0100072,19740228,20021230,20021230,20071229
CT0100081,19741230,20040927,20040927,20090926
CT0100145,19741230,20030213,20030213,20080212
CT0100161,19741230,20060621,20060621,20110620
CT0100170,19741230,20051001,20051001,20101006
CT0100196,19741230,20040901,20040901,20090907
CT0100200,19700101,20060621,20060621,20110620
CT0100218,19741230,20021217,20021217,20071216
CT0100226,19741230,20040901,20040901,20090907
CT0100234,19741230,20030213,20030213,20080212
CT0100242,19741230,20010117,20010117,20060116
CT0100251,19741230,20051025,20051025,20101024
CT0100269,0,20040917,20040917,20090916
CT0100293,19741230,20000420,20000420,20050419
CT0100307,19741230,20010531,20010531,20060530
CT0100315,19741230,20051018,20051018,20101017
CT0100323,19741230,20050201,20050201,20100207
CT0100331,0,20010627,20010627,20060626
CT0100366,19741230,20020328,20020328,20070327
CT0100374,19741230,20010801,20010801,20060402
CT0100382,19770322,20010913,20010913,20060912
CT0100391,19741230,20041001,20041001,20091003
CT0100404,19741230,20011031,20011031,20061030
CT0100412,19750721,20010101,20010101,20060109
CT0100439,19860130,20010314,20010314,20060313
CT0100447,19741230,20051018,20051018,20101017
CT0100455,19741230,20050831,20050831,20100830
CT0100463,19741230,20060201,20060201,20110131
CT0100480,19741230,20050929,20050929,20100928
CT0100498,0,20040927,20040927,20090926
CT0100501,19741230,20050315,20050315,20100314
CT0100510,19741230,20011219,20011219,20061218
CT0100528,19940314,20010401,20010401,20060411
CT0100536,19741230,20041101,20041101,20091107
CT0100544,0,20010523,20010523,20060522
CT0100552,19751117,20050315,20050315,20100314
CT0100579,19741230,20000929,20000929,20050928
CT0100609,19801106,20040217,20040217,20090216
CT0100617,19741230,20051228,20051228,20101227
CT0100625,19741230,20001214,20001214,20051213
CT0100641,19741230,20010801,20010801,20060806
CT0100684,19741230,20010927,20010927,20060926
CT0100706,19741230,20020130,20020130,20070129
CT0100714,0,20040929,20040929,20090928
CT0100749,19741230,20011029,20011029,20061028
CT0100781,19741230,19980301,19980301,20030309
CT0100803,0,20010725,20010725,20060724
CT0100854,0,20040929,20040929,20090928
CT0100919,19741230,20050222,20050222,20100221
CT0100935,19741230,20020514,20020514,20070513
CT0100960,19741230,20020801,20020801,20070731
CT0100978,0,20051223,20051223,20101222
CT0100994,19741230,20051201,20051201,20101130
CT0101001,19741230,20050315,20050315,20100314
CT0101010,19741230,20000929,20000929,20050928
